path	line	occurrence	category
docs/migrations/README.md	3	~/.claude	keep:migration-doc
docs/migrations/README.md	5	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	5	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	13	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	14	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	21	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	27	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	28	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	28	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	28	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	29	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	29	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	30	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	45	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	47	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	49	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	55	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	69	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	70	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	70	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	81	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	82	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	83	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	83	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	96	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	96	~/.claude	keep:migration-doc
docs/migrations/2026-05-collapse-manager-memory.md	98	~/.claude	keep:migration-doc
docs/migrations/2026-05-cursor-namespace.md	14	~/.claude	keep:migration-doc
